Distance Travelled,Radial Distance,Deadend,Turned Head,Blocks,Radius,Timeout
4.850390118,4.850358596,FALSE,0,18,3,FALSE
4.825047974,4.787066303,FALSE,0,18,3,FALSE
4.932856957,3.707387694,TRUE,0,162,9,FALSE
14.72544652,6.049475651,TRUE,0,128,8,FALSE
1.976139613,1.916215033,TRUE,0,32,4,FALSE
9.553687494,9.043517223,FALSE,0,72,6,FALSE
8.346146053,6.047596672,TRUE,0,128,8,FALSE
3.992194351,3.119127378,TRUE,0,162,9,FALSE
6.412047117,6.304064517,FALSE,0,32,4,FALSE
6.171838069,5.726631146,TRUE,0,98,7,FALSE
6.346994411,6.289158416,FALSE,0,32,4,FALSE
1.630599233,1.630060921,TRUE,0,128,8,FALSE
5.343676615,4.767517885,FALSE,0,18,3,FALSE
4.939548891,4.802964509,FALSE,0,18,3,FALSE
5.148814499,4.232464925,TRUE,0,98,7,FALSE
9.485180096,9.050601735,FALSE,0,72,6,FALSE
4.93610757,4.266067212,TRUE,0,72,6,FALSE
8.150423344,5.931292486,TRUE,0,242,11,FALSE
9.19568555,9.03512418,FALSE,0,72,6,FALSE
6.942232207,6.056974459,TRUE,0,200,10,FALSE
8.048274461,7.644625067,FALSE,0,50,5,FALSE
6.296619606,6.261409849,FALSE,0,32,4,FALSE
4.825047974,4.787066303,FALSE,0,18,3,FALSE
13.8002324,11.8986163,FALSE,0,128,8,FALSE
13.46287861,13.290351,FALSE,0,162,9,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE
9.197809768,9.121991108,FALSE,0,72,6,FALSE
2.662340225,2.492916891,TRUE,0,32,4,FALSE
8.628002943,7.619834692,FALSE,0,50,5,FALSE
18.11804622,15.47313006,FALSE,0,242,11,TRUE
9.147412492,8.198329651,TRUE,0,162,9,FALSE
7.784128311,7.672299461,FALSE,0,50,5,FALSE
2.662499779,2.500787266,TRUE,0,98,7,FALSE
13.77814243,13.26357872,FALSE,0,162,9,FALSE
10.43172842,8.337161558,TRUE,0,242,11,FALSE
13.69943041,13.35772545,FALSE,0,162,9,FALSE
9.271608881,9.06564024,FALSE,0,72,6,FALSE
4.667246581,3.892855202,TRUE,0,162,9,FALSE
2.819547286,2.474663675,TRUE,0,98,7,FALSE
9.122957122,9.062059823,FALSE,0,72,6,FALSE
15.06276569,13.28836136,FALSE,0,162,9,FALSE
13.30301227,11.85649134,FALSE,0,128,8,FALSE
