Distance Travelled,Radial Distance,Deadend,Turned Head,Blocks,Radius,Timeout,Collided
7.67309417,7.576862827,FALSE,0,50,5,FALSE,FALSE
6.536423465,6.272075375,FALSE,0,32,4,FALSE,FALSE
3.309197468,3.068568315,TRUE,0,72,6,FALSE,FALSE
4.930140094,4.892265303,FALSE,0,18,3,FALSE,FALSE
4.206221877,3.778208272,TRUE,0,98,7,FALSE,FALSE
5.062944639,4.518675113,TRUE,0,162,9,FALSE,FALSE
2.768417099,2.4115252,TRUE,0,162,9,FALSE,FALSE
2.49704143,2.313825444,TRUE,0,162,9,FALSE,FALSE
4.665264208,4.411776455,TRUE,0,72,6,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,242,11,FALSE,FALSE
4.906987244,4.676950558,FALSE,0,50,5,FALSE,TRUE
2.577944528,2.577929386,TRUE,0,128,8,FALSE,FALSE
2.471568911,2.357779072,TRUE,0,72,6,FALSE,FALSE
7.767479993,7.615815003,FALSE,0,50,5,FALSE,FALSE
3.462536972,3.236206939,TRUE,0,200,10,FALSE,FALSE
2.830459627,2.52293205,TRUE,0,50,5,FALSE,FALSE
1.911669229,1.670222098,TRUE,0,128,8,FALSE,FALSE
3.552138378,3.296344163,TRUE,0,128,8,FALSE,FALSE
4.729933241,4.460250636,TRUE,0,200,10,FALSE,FALSE
6.939900518,6.592003044,FALSE,0,98,7,FALSE,TRUE
7.684131497,7.613938149,FALSE,0,50,5,FALSE,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE,FALSE
6.288570024,6.253937722,FALSE,0,32,4,FALSE,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE,FALSE
3.384686689,3.062148428,TRUE,0,162,9,FALSE,FALSE
7.174069831,6.402003134,TRUE,0,128,8,FALSE,FALSE
7.137161956,6.963124888,TRUE,0,200,10,FALSE,FALSE
3.322935835,3.155180593,TRUE,0,242,11,FALSE,FALSE
8.427116676,7.710314845,FALSE,0,50,5,FALSE,FALSE
3.880876336,3.82929463,TRUE,0,242,11,FALSE,FALSE
5.176105251,4.845125204,FALSE,0,50,5,FALSE,TRUE
4.550187644,4.244152936,FALSE,0,162,9,FALSE,TRUE
9.123357052,7.502566,TRUE,0,162,9,FALSE,FALSE
4.161345087,3.791903294,TRUE,0,50,5,FALSE,FALSE
4.755301558,3.319560927,TRUE,0,162,9,FALSE,FALSE
7.316474635,6.652291671,TRUE,0,128,8,FALSE,FALSE
6.696271415,5.429497839,TRUE,0,242,11,FALSE,FALSE
16.96085994,10.41480443,FALSE,0,98,7,FALSE,FALSE
6.214394566,6.214354291,FALSE,0,32,4,FALSE,FALSE
7.145743737,6.229031212,FALSE,0,32,4,FALSE,FALSE
1.971935398,1.930134277,TRUE,0,242,11,FALSE,FALSE
6.041922385,5.894652053,TRUE,0,200,10,FALSE,FALSE
3.066000606,2.969752589,FALSE,0,200,10,FALSE,TRUE
12.40813737,11.91919084,FALSE,0,128,8,FALSE,FALSE
6.544772188,5.921360168,TRUE,0,200,10,FALSE,FALSE
14.99293201,14.75027045,FALSE,0,200,10,FALSE,FALSE
1.971935398,1.930134277,TRUE,0,128,8,FALSE,FALSE
4.793308104,4.441441231,TRUE,0,50,5,FALSE,FALSE
2.735093139,2.677337298,TRUE,0,200,10,FALSE,FALSE
2.569206642,2.333435634,TRUE,0,128,8,FALSE,FALSE
5.44792021,4.924582549,FALSE,0,98,7,FALSE,TRUE
13.12040816,11.90610431,FALSE,0,128,8,FALSE,FALSE
4.135148955,3.780043695,TRUE,0,50,5,FALSE,FALSE
6.933842347,6.171833469,FALSE,0,32,4,FALSE,FALSE
16.03989764,13.34372118,FALSE,0,162,9,FALSE,FALSE
13.94810001,11.8312575,FALSE,0,128,8,FALSE,FALSE
2.810357149,2.790718882,TRUE,0,72,6,FALSE,FALSE
8.458745808,7.648039155,FALSE,0,50,5,FALSE,FALSE
4.317972366,4.109267527,TRUE,0,98,7,FALSE,FALSE
5.049621685,4.781938478,FALSE,0,18,3,FALSE,FALSE
6.670866285,6.178992946,FALSE,0,32,4,FALSE,FALSE
5.294754725,4.845155041,FALSE,0,18,3,FALSE,FALSE
4.016257414,3.976918234,TRUE,0,128,8,FALSE,FALSE
5.172856415,5.009551623,TRUE,0,98,7,FALSE,FALSE
4.09478734,4.019584063,FALSE,0,98,7,FALSE,TRUE
14.84199629,11.88720652,FALSE,0,128,8,FALSE,FALSE
1.976139613,1.916215033,TRUE,0,98,7,FALSE,FALSE
3.618605816,3.27351223,TRUE,0,98,7,FALSE,FALSE
7.283688135,6.592210093,TRUE,0,242,11,FALSE,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE,FALSE
7.652407388,7.54632147,FALSE,0,200,10,FALSE,TRUE
7.995850128,7.720413214,FALSE,0,50,5,FALSE,FALSE
3.961786061,3.804224272,FALSE,0,32,4,FALSE,TRUE
6.428601791,6.002502354,TRUE,0,242,11,FALSE,FALSE
7.931665486,6.280014269,FALSE,0,32,4,FALSE,FALSE
9.415735089,9.125452996,FALSE,0,72,6,FALSE,FALSE
3.543272608,3.50067774,FALSE,0,72,6,FALSE,TRUE
6.670866285,6.178992946,FALSE,0,32,4,FALSE,FALSE
3.838445261,3.554265762,FALSE,0,32,4,FALSE,TRUE
3.989403095,3.917449827,TRUE,0,128,8,FALSE,FALSE
4.814408832,4.776421541,FALSE,0,18,3,FALSE,FALSE
5.017835239,4.862743325,FALSE,0,72,6,FALSE,TRUE
4.939548891,4.802964509,FALSE,0,18,3,FALSE,FALSE
3.291507377,3.176403083,TRUE,0,242,11,FALSE,FALSE
1.911669229,1.670222098,TRUE,0,242,11,FALSE,FALSE
1.630599233,1.630060921,TRUE,0,72,6,FALSE,FALSE
2.577944528,2.577929386,TRUE,0,98,7,FALSE,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE,FALSE
7.869698147,7.649608373,FALSE,0,50,5,FALSE,FALSE
3.027023465,2.969601909,TRUE,0,242,11,FALSE,FALSE
1.923890827,1.688926694,TRUE,0,50,5,FALSE,FALSE
12.16712527,11.85485142,FALSE,0,128,8,FALSE,FALSE
4.578070899,3.996835849,FALSE,0,32,4,FALSE,TRUE
7.768559428,7.706198474,FALSE,0,50,5,FALSE,FALSE
4.897330554,4.789843973,FALSE,0,18,3,FALSE,FALSE
3.309197468,3.068568315,TRUE,0,242,11,FALSE,FALSE
4.179298787,4.084921799,TRUE,0,72,6,FALSE,FALSE
5.791605575,5.275706585,TRUE,0,98,7,FALSE,FALSE
6.686675045,6.225225417,FALSE,0,32,4,FALSE,FALSE
2.808152544,2.788446675,TRUE,0,128,8,FALSE,FALSE
6.412047117,6.304064517,FALSE,0,32,4,FALSE,FALSE
6.270924592,6.198996932,FALSE,0,32,4,FALSE,FALSE
7.873551813,7.691822003,FALSE,0,50,5,FALSE,FALSE
4.577705106,3.876520799,TRUE,0,200,10,FALSE,FALSE
3.641064089,3.641041602,TRUE,0,242,11,FALSE,FALSE
4.611078595,4.463695464,FALSE,0,72,6,FALSE,TRUE
4.753338867,4.624347117,TRUE,0,200,10,FALSE,FALSE
7.148749692,4.195780943,TRUE,0,98,7,FALSE,FALSE
5.619352314,5.610215544,TRUE,0,242,11,FALSE,FALSE
4.766628999,3.762317968,FALSE,0,128,8,FALSE,TRUE
