Distance Travelled,Radial Distance,Deadend,Turned Head,Blocks,Radius,Timeout
13.97412141,13.23195974,FALSE,0,162,9,FALSE
9.670911857,9.004782963,FALSE,0,72,6,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE
5.096456035,4.881447791,FALSE,0,18,3,FALSE
3.443328778,3.156929841,TRUE,11,98,7,FALSE
3.999958957,3.482187417,TRUE,3,162,9,FALSE
10.03199029,6.221420704,FALSE,1,32,4,FALSE
9.795609454,9.343238838,TRUE,3,242,11,FALSE
5.024707271,4.492016207,TRUE,11,72,6,FALSE
4.782392436,4.747202762,FALSE,0,18,3,FALSE
24.38079941,15.70469204,FALSE,2,242,11,TRUE
9.976946694,9.104260049,FALSE,0,72,6,FALSE
7.101096276,6.875689819,TRUE,2,242,11,FALSE
9.158223781,5.91044479,TRUE,3,200,10,FALSE
6.593781513,6.1978022,FALSE,0,32,4,FALSE
4.825047974,4.787066303,FALSE,0,18,3,FALSE
9.709420424,9.073318467,FALSE,0,72,6,FALSE
5.496455196,3.41039692,TRUE,9,50,5,FALSE
10.84895303,10.44481243,FALSE,0,98,7,FALSE
11.38328733,6.747674975,TRUE,1,242,11,FALSE
3.908903004,3.52667947,TRUE,7,50,5,FALSE
16.25956674,15.58388944,FALSE,0,242,11,TRUE
6.333388776,6.25433773,FALSE,0,32,4,FALSE
15.28371419,14.6897024,FALSE,0,200,10,FALSE
10.75661196,10.4243587,FALSE,0,98,7,FALSE
16.24526477,7.647597388,FALSE,3,50,5,FALSE
8.158090244,7.675840616,FALSE,0,50,5,FALSE
3.292813049,3.131253984,TRUE,2,242,11,FALSE
6.296619606,6.261409849,FALSE,0,32,4,FALSE
6.518031256,6.29606117,FALSE,0,32,4,FALSE
7.542348596,6.196084522,TRUE,2,128,8,FALSE
11.9525023,3.038325966,TRUE,4,242,11,FALSE
7.574280883,6.212286128,FALSE,0,32,4,FALSE
8.471695198,8.052483194,TRUE,1,242,11,FALSE
3.867984538,3.764760596,TRUE,1,242,11,FALSE
3.292813049,3.131253984,TRUE,2,128,8,FALSE
4.754850968,4.277255008,TRUE,2,162,9,FALSE
6.874933972,6.233105115,FALSE,0,32,4,FALSE
9.537640157,9.130289116,FALSE,0,72,6,FALSE
6.585353499,3.272647294,TRUE,4,128,8,FALSE
25.45216536,3.761353593,TRUE,11,200,10,FALSE
13.45173814,9.829178515,TRUE,2,242,11,FALSE
23.79282476,7.611816191,FALSE,0,50,5,FALSE
3.408433542,3.347689366,TRUE,4,98,7,FALSE
20.26491179,10.53785862,FALSE,1,98,7,FALSE
6.686675045,6.225225417,FALSE,0,32,4,FALSE
11.54053145,10.51482172,FALSE,0,98,7,FALSE
6.553561382,6.163782754,FALSE,0,32,4,FALSE
12.9219886,8.29743648,TRUE,2,200,10,FALSE
4.940003427,4.238749347,FALSE,236,128,8,TRUE
3.319265205,3.239376159,TRUE,4,242,11,FALSE
14.9174354,8.577834563,TRUE,7,242,11,FALSE
4.825047974,4.787066303,FALSE,0,18,3,FALSE
4.935665837,4.87021418,TRUE,1,128,8,FALSE
6.472754922,6.201623427,FALSE,0,32,4,FALSE
2.877116868,2.866201505,TRUE,3,72,6,FALSE
3.145893517,3.014896135,TRUE,2,242,11,FALSE
13.84933649,7.702331666,TRUE,6,162,9,FALSE
5.095378315,4.675001545,TRUE,1,98,7,FALSE
11.66534511,4.262408674,TRUE,8,200,10,FALSE
3.894826453,3.59926934,TRUE,5,50,5,FALSE
10.23276949,8.707272615,FALSE,186,128,8,TRUE
5.858564804,5.552562477,TRUE,9,98,7,FALSE
4.269912133,4.182143773,TRUE,1,200,10,FALSE
11.39611808,6.977992284,FALSE,202,128,8,TRUE
19.65541298,13.2823457,FALSE,2,162,9,FALSE
9.222383068,9.131732308,FALSE,0,72,6,FALSE
4.179298787,4.084921799,TRUE,1,200,10,FALSE
4.233537647,4.145170077,TRUE,5,242,11,FALSE
11.63067022,5.275323052,TRUE,11,128,8,FALSE
6.15350805,3.504134866,TRUE,20,128,8,FALSE
5.264909521,5.131139968,TRUE,4,162,9,FALSE
8.211955117,7.660510168,FALSE,0,50,5,FALSE
3.983077666,3.894776099,TRUE,1,72,6,FALSE
12.12834893,3.604461699,TRUE,12,200,10,FALSE
6.097992139,5.329056194,TRUE,6,162,9,FALSE
5.942464853,5.424886105,TRUE,2,242,11,FALSE
14.03725825,13.26114534,FALSE,0,162,9,FALSE
4.663320526,4.662692489,TRUE,1,200,10,FALSE
4.841779358,4.791702282,TRUE,1,162,9,FALSE
4.885269097,4.79104516,FALSE,0,18,3,FALSE
6.299724703,6.262775468,FALSE,0,32,4,FALSE
6.471509869,5.614016801,TRUE,2,128,8,FALSE
5.864230526,5.192945862,TRUE,2,128,8,FALSE
4.885269097,4.79104516,FALSE,0,18,3,FALSE
4.782392436,4.747202762,FALSE,0,18,3,FALSE
8.197553435,7.941951226,TRUE,1,200,10,FALSE
5.003847249,4.841124211,FALSE,0,18,3,FALSE
4.598482855,4.256336883,TRUE,9,242,11,FALSE
5.39004844,5.091049422,TRUE,1,72,6,FALSE
6.91480857,5.987780855,TRUE,3,128,8,FALSE
4.23064242,4.058481575,TRUE,9,200,10,FALSE
2.966538119,2.921459222,TRUE,2,98,7,FALSE
3.408433542,3.347689366,TRUE,4,50,5,FALSE
5.258418128,4.975396604,TRUE,1,162,9,FALSE
5.971431863,4.281805182,TRUE,7,242,11,FALSE
5.754794103,4.927376474,TRUE,1,200,10,FALSE
3.031764218,2.962224102,TRUE,2,162,9,FALSE
4.782392436,4.747202762,FALSE,0,18,3,FALSE
15.63413807,14.67306064,FALSE,0,200,10,FALSE
8.46007904,7.576231654,FALSE,219,200,10,TRUE
12.3461072,9.775844087,TRUE,5,242,11,FALSE
6.300608242,5.686561564,TRUE,3,98,7,FALSE
12.31385401,4.287175374,TRUE,5,242,11,FALSE
6.326114041,6.285242986,FALSE,0,32,4,FALSE
4.797543397,4.23930728,FALSE,230,98,7,TRUE
6.548994303,6.168979999,TRUE,3,200,10,FALSE
3.488562286,3.415781707,TRUE,4,98,7,FALSE
5.854899712,3.737420761,FALSE,228,50,5,TRUE
11.81261842,10.5060984,FALSE,1,98,7,FALSE
5.777297638,5.491476213,TRUE,1,162,9,FALSE
8.096209736,7.669331824,FALSE,0,50,5,FALSE
11.01038176,9.122745808,FALSE,0,72,6,FALSE
12.75971932,9.044911552,FALSE,0,72,6,FALSE
12.08568606,11.95577177,FALSE,0,128,8,FALSE
18.91632859,14.79074047,FALSE,1,200,10,FALSE
7.037943444,6.167962548,FALSE,0,32,4,FALSE
4.579524275,4.281729888,TRUE,5,128,8,FALSE
10.01448598,9.053766255,FALSE,0,72,6,FALSE
10.55800786,10.42803193,FALSE,0,98,7,FALSE
4.172448808,3.814015897,TRUE,1,162,9,FALSE
5.471321091,4.530054534,TRUE,1,200,10,FALSE
6.326114041,6.285242986,FALSE,0,32,4,FALSE
4.814408832,4.776421541,FALSE,0,18,3,FALSE
17.49309408,14.67607368,FALSE,0,200,10,FALSE
12.89259074,11.96258481,FALSE,0,128,8,FALSE
5.269381983,5.004551929,TRUE,1,242,11,FALSE
7.200749156,6.274035433,FALSE,0,32,4,FALSE
8.524557303,7.646163803,TRUE,1,200,10,FALSE
6.126954784,5.961366017,TRUE,2,200,10,FALSE
4.782392436,4.747202762,FALSE,0,18,3,FALSE
8.012515288,6.40807498,TRUE,1,98,7,FALSE
8.825385013,3.920321724,TRUE,9,98,7,FALSE
4.071472665,3.981778487,TRUE,8,128,8,FALSE
4.723823752,4.473260195,TRUE,1,242,11,FALSE
4.850390118,4.850358596,FALSE,0,18,3,FALSE
10.91429163,10.52300162,FALSE,0,98,7,FALSE
6.207649816,4.526700153,FALSE,225,72,6,TRUE
3.878849957,3.659405265,TRUE,4,98,7,FALSE
23.78007404,6.643489563,TRUE,6,162,9,FALSE
8.907826672,3.452043888,FALSE,225,50,5,TRUE
4.841367553,4.411043396,TRUE,11,242,11,FALSE
4.825047974,4.787066303,FALSE,0,18,3,FALSE
4.605998601,4.357183928,TRUE,6,162,9,FALSE
5.380138282,4.774009945,FALSE,0,18,3,FALSE
8.472564102,7.642801762,FALSE,0,50,5,FALSE
12.87721571,10.52321097,FALSE,1,98,7,FALSE
5.955837867,4.787251118,TRUE,7,72,6,FALSE
5.003847249,4.841124211,FALSE,0,18,3,FALSE
7.526015794,6.161808646,FALSE,0,32,4,FALSE
14.29242942,13.35241234,FALSE,0,162,9,FALSE
5.102813113,3.730985356,TRUE,6,162,9,FALSE
5.049621685,4.781938478,FALSE,0,18,3,FALSE
4.774795609,4.039258509,FALSE,232,128,8,TRUE
9.404862102,8.680556245,TRUE,4,162,9,FALSE
8.711885242,7.779931006,TRUE,5,162,9,FALSE
12.2049491,10.42153023,FALSE,1,98,7,FALSE
11.09121065,9.116653912,FALSE,1,72,6,FALSE
6.214394566,6.214354291,FALSE,0,32,4,FALSE
7.071795222,4.92856823,TRUE,1,200,10,FALSE
26.83589503,4.535296349,TRUE,10,242,11,FALSE
5.99961123,5.581222223,TRUE,4,200,10,FALSE
10.58368222,10.44889266,FALSE,0,98,7,FALSE
7.72161481,4.881712792,FALSE,3,18,3,FALSE
5.726962576,5.240712012,TRUE,1,200,10,FALSE
14.91859796,13.27655737,FALSE,0,162,9,FALSE
9.016012283,4.609234013,TRUE,13,72,6,FALSE
4.825047974,4.787066303,FALSE,0,18,3,FALSE
8.145920499,7.698407323,FALSE,0,50,5,FALSE
7.323010363,3.887824129,TRUE,15,162,9,FALSE
10.67703166,10.42329083,FALSE,0,98,7,FALSE
4.317897684,3.769484078,FALSE,232,32,4,TRUE
14.97472408,9.004151229,TRUE,8,200,10,FALSE
5.096456035,4.881447791,FALSE,0,18,3,FALSE
7.536578871,6.16009072,FALSE,0,32,4,FALSE
9.77797712,9.1882272,TRUE,4,242,11,FALSE
10.00819807,9.046215155,FALSE,0,72,6,FALSE
6.518031256,6.29606117,FALSE,0,32,4,FALSE
8.764178518,7.835334397,FALSE,215,162,9,TRUE
3.61421755,3.48244969,TRUE,1,162,9,FALSE
8.722074294,7.698174739,FALSE,0,50,5,FALSE
5.049621685,4.781938478,FALSE,0,18,3,FALSE
3.978661588,3.528043462,TRUE,6,72,6,FALSE
6.333388776,6.25433773,FALSE,0,32,4,FALSE
10.73528355,9.101781699,FALSE,0,72,6,FALSE
13.33458502,13.23564287,FALSE,0,162,9,FALSE
6.326114041,6.285242986,FALSE,0,32,4,FALSE
4.277400536,3.466105699,FALSE,235,98,7,TRUE
6.333388776,6.25433773,FALSE,0,32,4,FALSE
13.50191414,5.132084464,TRUE,6,162,9,FALSE
5.537376554,4.154750614,TRUE,4,128,8,FALSE
6.676076625,4.08467634,TRUE,2,128,8,FALSE
3.319265205,3.239376159,TRUE,4,128,8,FALSE
16.59422601,16.20620142,FALSE,0,242,11,FALSE
